CODLOC,LOCALIDAD,CODIGO,NUMVIV,CODDIST,CODINT
63,Atalaya,13,366,10,
64,PP. JJ. Mariano Bustamante,10,147,10,
65,Santo Domingo,11,158,10,
66,Cerro La Chilca,9,108,10,
67,Santa Rita de Casia,3,271,10,
68,P.T. Mariano Melgar,2,2605,10,
69,Mariano Bustamante,4,170,10,
70,Héroes del Cenepa Zona B,28,143,10,
71,Cerro San Jacinto,20,76,11,
72,Carmen Alto,34,168,11,
73,Acequia Alta,36,755,11,
74,Upis Deán Valdivia,49,363,11,
75,Ampliación La Tomilla,39,1367,11,
76,Juan Velasco Alvarado,40,332,11,
77,María Parado de Bellido,46,97,11,
78,P.T. La Tomilla,37,410,11,
79,Santa Rosa de Lima,59,121,11,
80,Comité 14,74,407,11,
81,Virgen de la Candelaria,72,88,11,
82,Las Malvinas,71,478,11,
83,Buenos Aires,69,987,11,
84,Casimiro Cuadros II,70,385,11,
85,Francisco Bolognesi,43,831,11,
86,Casimiro Cuadros I,77,297,11,
87,Villa Continental,75,509,11,
88,San Martín de Porres,47,269,11,
89,AA.HH. El Porvenir - Modulo III,1,301,12,
90,Mochica Baja,1A,75,12,
91,P.T. Jaqui - Modulo I,2,196,12,
92,AA.HH. El Porvenir - Modulo II,3,200,12,
93,AA.HH. El Porvenir - Modulo IV,4,296,12,
94,Señor de la Caña,2,90,11,
95,Sector IX Enace,96,347,11,
96,José Carlos Mariategui,79,225,11,
97,Quiñones - Ampliación Quiñones,50,164,11,
98,Sector II Enace,88,363,11,
99,San Miguel,83,193,11,
100,Señor de Huanca,84,302,11,
101,José Olaya Zona A,54,214,11,
102,Desc. Rafael Belaunde y El Gran Caimán,58,61,11,
103,Prolongación Goyeneche,27,125,13,
104,PP.JJ. Tahuantinsuyo,34,149,13,
105,Juan XXIII A,41,133,13,
106,Fuerte Arica,35,50,13,
107,Villa Familia-Nuevo Amanecer,30,44,13,
108,Los Incas,32,54,13,
109,Señor de Coyllorite,38,100,13,
110,Edificadores Misti B,18,773,13,
111,El Porvenir Miraflores,22,1003,13,
112,La Isla,28,16,13,
113,Cooperativa 14,16,428,13,
114,Solidaridad-Ampliación Misti,21,234,13,
115,Señor de los Milagros-Los Olivos,33,65,13,
116,Malecón Iquique,19,73,13,
117,Garcilaso de la Vega,17,70,13,
118,Urb. Chapi Chico,12,177,13,
119,Terminal Calvario,11,48,13,
120,Parque Artesanal-Ulrich Neisser-Los Claveles,25,147,13,
121,Edificadores Misti A,14,706,13,
122,Francisco Mostajo,24,66,13,
123,Peñón Alfonso Ugarte-Las Peñas,20,133,13,
124,Villa Esperanza,26,79,13,
125,Mateo Pumacahua,55,240,13,
126,Las Palmeras-Los Guindos,13,175,13,
127,Cercado-La Chavela,10,363,13,
128,P.T. Miraflores Parte Intermedia,9,1415,13,
129,Galaxias A,45,366,13,
130,Tomasa Tito Condemayta,52,282,13,
131,Cooperativa Sáenz Peña,1,344,13,
132,Cooperativa San Antonio,2,661,13,
133,Malecón Chorrillos,5,204,13,
134,Cuartel General Salaverry,7,46,13,
135,P.T. Miraflores Parte Baja,3,1178,13,
136,Villa Goyeneche,29,61,13,
137,Cristo Blanco,53,103,13,
138,Urb. Apurímac,34,735,14,
139,Ampliación Villa Unión,39,272,14,
140,San Luís,42,179,14,
141,Señor de las Piedades,44,73,14,
142,Javier Heraud,14,280,14,
143,Asociación Artesanal El Misti,29,144,14,
144,Antonio José de Sucre,7,141,14,
145,San José,8,173,14,
146,Villa Vitarte-San Hilarión,36,89,14,
147,Granjeros San Lázaro,45,62,14,
148,Juan Velasco Alvarado A,22,209,14,
149,Villa El Conquistador II,23,134,14,
150,Cooperativa Cruce de Chilina,26,244,14,
151,Leones del Misti,38,307,14,
152,Villa Unión,40,165,14,
153,Independencia Zona A-I,78,653,14,
154,Villa El Mirador,13,181,14,
155,Garcilazo de la Vega,37,115,14,
156,Cooperativa Enatru,25,74,14,
157,Cooperativa Los Eucaliptos,27,288,14,
158,Alto Selva Alegre A,1,1431,14,
159,Villa Salvador,83,31,14,
160,Villa Florida,81,188,14,
161,AVIS Cruce de Chilina,21,232,14,
162,Ramiro Priale,10,715,14,
163,Pampa Chica,82,107,14,
164,Alto Selva Alegre C,3,963,14,
165,Independencia Zona A-II,79,460,14,
166,El Mirador Zona A,62,435,14,
167,1ro de Enero,77,177,14,
168,Villa Chachas,71,185,14,
169,Independencia Zona B,74,672,14,
170,Villa Confraternidad Zona A-I,87,384,14,
171,Cooperativa La Estrella,6,267,14,
172,Alto Selva Alegre B,2,1097,14,
173,Villa Asunción,70,356,14,
