CODCNSLDD,CODIGO,SEEKVIV,CODVIV,CICLO
4104   1000680000000033,71,4104   171,000000033740,1
4104   1000680000000033,72,4104   172,000000033741,1
4104   1000680000000033,77,4104   177,000000033742,1
4104   1000680000000033,78,4104   178,000000033743,1
4104   1000680000000033,79,4104   179,000000033744,1
4104   1000680000000033,80,4104   180,000000033745,1
4104   1000680000000033,82,4104   182,000000033746,1
4104   1000680000000033,85,4104   185,000000033747,1
4104   1000680000000033,86,4104   186,000000033748,1
4104   1000680000000033,87,4104   187,000000033749,1
4104   1000680000000033,88,4104   188,000000033750,1
4104   1000680000000033,92,4104   192,000000033751,1
4104   1000680000000033,93,4104   193,000000033752,1
4104   1000680000000033,94,4104   194,000000033753,1
4104   1000680000000033,95,4104   195,000000033754,1
4104   1000680000000033,96,4104   196,000000033755,1
4104   1000680000000033,97,4104   197,000000033756,1
4104   1000680000000033,98,4104   198,000000033757,1
4104   1000680000000033,100,4104   1100,000000033758,1
4104   1000680000000033,101,4104   1101,000000033759,1
4104   1000680000000033,104,4104   1104,000000033760,1
4104   1000680000000033,106,4104   1106,000000033761,1
4104   1000680000000033,108,4104   1108,000000033762,1
4104   1000680000000033,112,4104   1112,000000033763,1
4104   1000680000000033,113,4104   1113,000000033764,1
4104   1000680000000033,115,4104   1115,000000033765,1
4104   1000680000000033,116,4104   1116,000000033766,1
4104   1000680000000033,117,4104   1117,000000033767,1
4104   1000680000000033,118,4104   1118,000000033768,1
4104   1000680000000033,119,4104   1119,000000033769,1
4104   1000680000000033,120,4104   1120,000000033770,1
4104   1000680000000033,126,4104   1126,000000033771,1
4104   1000680000000033,130,4104   1130,000000033772,1
4104   1000680000000033,131,4104   1131,000000033773,1
4104   1000680000000033,132,4104   1132,000000033774,1
4104   1000680000000033,134,4104   1134,000000033775,1
4104   1000680000000033,136,4104   1136,000000033776,1
4104   1000680000000033,138,4104   1138,000000033777,1
4104   1000680000000033,139,4104   1139,000000033778,1
4104   1000680000000033,140,4104   1140,000000033779,1
4104   1000680000000033,144,4104   1144,000000033780,1
4104   1000680000000033,145,4104   1145,000000033781,1
4104   1000680000000033,146,4104   1146,000000033782,1
4104   1000680000000033,147,4104   1147,000000033783,1
4104   1000680000000033,148,4104   1148,000000033784,1
