CODCNSLDD,CODIGO,SEEKVIV,CODVIV,CICLO
1102   1000490000000636,1868,1102   11868,000000030417,1
1102   1000490000000636,2145,1102   12145,000000030418,1
1102   1000490000000636,2174,1102   12174,000000030419,1
1102   1000020000000640,2219,1102   12219,000000030595,1
1102   1000020000000640,2396,1102   12396,000000030596,1
1102   1000020000000640,2533,1102   12533,000000030597,1
1103   1000430000000058,1,1103   11,000000030724,1
1103   1000430000000058,3,1103   13,000000030725,1
1103   1000430000000058,4,1103   14,000000030726,1
1103   1000430000000058,232,1103   1232,000000030727,1
11011  1000200000000040,93,11011  193,000000030770,1
11010  1000020000000047,115,11010  1115,000000030846,1
1109   1000590000000032,88,1109   188,000000030976,1
11016  1000490000000027,20,11016  120,000000031010,1
11016  1000490000000027,58,11016  158,000000031011,1
11013  1000490000000089,140,11013  1140,000000031088,1
11013  1000490000000089,141,11013  1141,000000031089,1
11013  1000490000000089,164,11013  1164,000000031090,1
11013  1000490000000089,269,11013  1269,000000031091,1
11037  1000490000000421,144,11037  1144,000000031362,1
11037  1000490000000421,461,11037  1461,000000031363,1
11037  1000520000000425,613,11037  1613,000000031549,1
11037  1000520000000425,719,11037  1719,000000031550,1
11037  1000520000000425,810,11037  1810,000000031551,1
11037  1000560000000429,1102,11037  11102,000000031709,1
11037  1000590000000433,1547,11037  11547,000000031903,1
11037  1000590000000433,1570,11037  11570,000000031904,1
11037  1000590000000433,1637,11037  11637,000000031905,1
11038  1000560000000341,1,11038  11,000000032081,1
11038  1000560000000341,64,11038  164,000000032082,1
11038  1000560000000341,266,11038  1266,000000032083,1
11038  1000430000000344,453,11038  1453,000000032285,1
11038  1000430000000344,455,11038  1455,000000032286,1
11038  1000430000000344,470,11038  1470,000000032287,1
11038  1000430000000344,474,11038  1474,000000032288,1
11038  1000430000000344,478,11038  1478,000000032289,1
11038  1000430000000344,594,11038  1594,000000032290,1
11038  1000430000000344,633,11038  1633,000000032291,1
11038  1000430000000344,642,11038  1642,000000032292,1
11038  1000430000000344,765,11038  1765,000000032293,1
11038  1000430000000344,767,11038  1767,000000032294,1
11038  1000590000000348,1012,11038  11012,000000032428,1
11036  1000560000000106,166,11036  1166,000000032764,1
11036  1000560000000106,175,11036  1175,000000032765,1
11036  1000560000000106,176,11036  1176,000000032766,1
11036  1000560000000106,291,11036  1291,000000032767,1
4101A  1000660000000021,53,4101A  153,000000033254,1
4101A  1000660000000021,63,4101A  163,000000033255,1
4102   1000680000000043,25,4102   125,000000033337,1
4102   1000680000000043,45,4102   145,000000033338,1
4102   1000680000000043,46,4102   146,000000033339,1
4102   1000680000000043,107,4102   1107,000000033340,1
4102   1000680000000043,138,4102   1138,000000033341,1
4102   1000680000000043,144,4102   1144,000000033342,1
4101   1000660000000026,67,4101   167,000000033397,1
4101   1000660000000026,95,4101   195,000000033398,1
4101   1000660000000026,96,4101   196,000000033399,1
4101   1000660000000026,99,4101   199,000000033400,1
4101   1000660000000026,106,4101   1106,000000033401,1
4101   1000660000000026,301,4101   1301,000000033402,1
4103   1000680000000057,9,4103   19,000000033654,1
4103   1000680000000057,30,4103   130,000000033655,1
4103   1000680000000057,99,4103   199,000000033656,1
4103   1000680000000057,106,4103   1106,000000033657,1
4104   1000680000000032,48,4104   148,000000033714,1
4104   1000680000000032,105,4104   1105,000000033715,1
1103   2000550000000046,1,1103   21,000000035462,2
1103   2000550000000046,232,1103   2232,000000035463,2
11016  2000740000000035,20,11016  220,000000035505,2
11016  2000740000000035,58,11016  258,000000035506,2
11127  1000040000000029,19,11127  119,000000041362,1
11127  1000040000000029,102,11127  1102,000000041363,1
11134  1000210000000060,44,11134  144,000000041431,1
11135  1000060000000022,50,11135  150,000000041466,1
11118  1000430000000223,129,11118  1129,000000041644,1
11118  1000430000000223,153,11118  1153,000000041645,1
11118  1000430000000223,155,11118  1155,000000041646,1
11118  1000430000000223,244,11118  1244,000000041647,1
11118  1000430000000223,129,11118  1129,000000042002,1
11118  1000430000000223,153,11118  1153,000000042003,1
11118  1000430000000223,155,11118  1155,000000042004,1
11118  1000430000000223,244,11118  1244,000000042005,1
11117  1000060000000023,5,11117  15,000000042381,1
11117  1000060000000023,61,11117  161,000000042382,1
11122  1000290000000309,338,11122  1338,000000042672,1
11122  1000290000000309,339,11122  1339,000000042673,1
11112  1000750000000050,114,11112  1114,000000042932,1
11112  1000750000000050,136,11112  1136,000000042933,1
11122  1000290000000309,338,11122  1338,000000043202,1
11122  1000290000000309,339,11122  1339,000000043203,1
11116  1000290000000117,63,11116  163,000000043560,1
11116  1000290000000117,96,11116  196,000000043561,1
11116  1000290000000117,128,11116  1128,000000043562,1
11116  1000290000000117,139,11116  1139,000000043563,1
11116  1000290000000117,232,11116  1232,000000043564,1
11116  1000290000000117,239,11116  1239,000000043565,1
11116  1000290000000117,326,11116  1326,000000043566,1
11125  1000290000000044,142,11125  1142,000000043598,1
11126  1000750000000023,2,11126  12,000000043638,1
11126  1000750000000023,3,11126  13,000000043639,1
11155  1000750000000055,13,11155  113,000000043712,1
11155  1000730000000055,13,11155  113,000000043712,1
1113   1000700000000025,85,1113   185,000000043745,1
1113   1000700000000025,86,1113   186,000000043746,1
1113   1000700000000025,130,1113   1130,000000043747,1
1113   1000700000000025,85,1113   185,000000043746,1
1113   1000700000000025,86,1113   186,000000043747,1
1113   1000700000000025,130,1113   1130,000000043748,1
1119   1000060000000284,62,1119   162,000000044759,1
1119   1000060000000284,146,1119   1146,000000044760,1
1119   1000060000000284,400,1119   1400,000000044761,1
1119   1000060000000284,408,1119   1408,000000044762,1
1119   1000060000000284,412,1119   1412,000000044763,1
1119   1000060000000284,551,1119   1551,000000044764,1
1119   1000060000000284,663,1119   1663,000000044765,1
1119   1000610000000288,762,1119   1762,000000045011,1
1119   1000610000000288,861,1119   1861,000000045012,1
1111   1000730000000066,49,1111   149,000000045253,1
1111   1000730000000066,50,1111   150,000000045254,1
1115   2000500000000050,42,1115   242,000000045881,2
1117   2000290000000018,3,1117   23,000000045891,2
1117   2000290000000018,7,1117   27,000000045892,2
1117   2000290000000018,46,1117   246,000000045893,2
11120  2000610000000042,57,11120  257,000000046064,2
11116  2000550000000105,239,11116  2239,000000046239,2
1119   2000700000000267,57,1119   257,000000046785,2
1119   2000700000000267,62,1119   262,000000046786,2
1119   2000700000000267,429,1119   2429,000000046787,2
1119   2000700000000267,430,1119   2430,000000046788,2
1119   2000700000000267,431,1119   2431,000000046789,2
1119   2000700000000267,432,1119   2432,000000046790,2
1119   2000700000000267,440,1119   2440,000000046791,2
1119   2000700000000267,709,1119   2709,000000046792,2
1119   2000700000000267,781,1119   2781,000000046793,2
1119   2000700000000267,792,1119   2792,000000046794,2
1119   2000700000000267,793,1119   2793,000000046795,2
1119   2000700000000267,811,1119   2811,000000046796,2
1119   2000700000000267,813,1119   2813,000000046797,2
1119   2000700000000267,814,1119   2814,000000046798,2
1119   2000700000000267,816,1119   2816,000000046799,2
1119   2000700000000267,817,1119   2817,000000046800,2
1119   2000700000000267,818,1119   2818,000000046801,2
1119   2000700000000267,1010,1119   21010,000000046802,2
11118  2000550000000182,244,11118  2244,000000047180,2
11122  2000700000000221,338,11122  2338,000000048497,2
11122  2000700000000221,339,11122  2339,000000048498,2
11 39  1000700000000075,201,11 39  1201,000000052585,1
11 39  1000700000000075,205,11 39  1205,000000052586,1
11 39  1000700000000075,206,11 39  1206,000000052587,1
11 81  1000060000000066,1,11 81  11,000000053081,1
11 78  1000610000000170,187,11 78  1187,000000053272,1
11 78  1000610000000170,191,11 78  1191,000000053273,1
11 78  1000610000000170,192,11 78  1192,000000053274,1
11 78  1000610000000170,212,11 78  1212,000000053275,1
11 78  1000610000000170,317,11 78  1317,000000053276,1
11 78  1000610000000170,371,11 78  1371,000000053277,1
11 78  1000700000000171,363,11 78  1363,000000053278,1
11 78  1000700000000171,426,11 78  1426,000000053279,1
11 78  1000700000000171,626,11 78  1626,000000053280,1
11 13  1000060000000058,134,11 13  1134,000000053314,1
11 71  1000550000000047,179,11 71  1179,000000053373,1
11 71  1000550000000047,183,11 71  1183,000000053374,1
11 71  1000550000000047,185,11 71  1185,000000053375,1
11 21  1000750000000024,232,11 21  1232,000000053559,1
11 79  1000610000000038,178,11 79  1178,000000053593,1
11 1   1000430000000037,411,11 1   1411,000000054336,1
11 2   1000380000000041,204,11 2   1204,000000054728,1
11 2   1000380000000041,205,11 2   1205,000000054729,1
11 22  2000020000000066,205,11 22  2205,000000055130,2
11 13  2000380000000047,134,11 13  2134,000000055406,2
11 27  2000550000000078,132,11 27  2132,000000055889,2
11 27  2000550000000078,174,11 27  2174,000000055890,2
6791   1000380000000009,11,6791   111,000000056364,1
14 40  1000380000000090,179,14 40  1179,000000058392,1
