UNICODE,P,D,L,V,CICLO_ROCIADO ,STATUS
1.4.96.519,1,4,96,519,2,C
1.4.96.521,1,4,96,521,2,C
1.4.96.525,1,4,96,525,2,C
1.4.96.528,1,4,96,528,2,C
1.4.96.532,1,4,96,532,2,C
1.4.96.545,1,4,96,545,2,C
1.4.96.454,1,4,96,454,2,R
1.4.96.469,1,4,96,469,2,R
1.4.96.472,1,4,96,472,2,R
1.4.96.456A,1,4,96,456A,2,R
1.4.96.459A,1,4,96,459A,2,R
1.4.96.459B,1,4,96,459B,2,R
1.4.96.484,1,4,96,484,2,R
1.4.96.489,1,4,96,489,2,R
1.4.96.490,1,4,96,490,2,R
1.4.96.493,1,4,96,493,2,R
1.4.96.492A,1,4,96,492A,2,R
1.4.96.495,1,4,96,495,2,R
1.4.96.496,1,4,96,496,2,R
1.4.96.498,1,4,96,498,2,R
1.4.96.500,1,4,96,500,2,R
1.4.96.501,1,4,96,501,2,R
1.4.96.507,1,4,96,507,2,R
1.4.96.509,1,4,96,509,2,R
1.4.96.496A,1,4,96,496A,2,R
1.4.96.497A,1,4,96,497A,2,R
1.4.96.503A,1,4,96,503A,2,R
1.4.96.511,1,4,96,511,2,R
1.4.96.512,1,4,96,512,2,R
1.4.96.515,1,4,96,515,2,R
1.4.96.516,1,4,96,516,2,R
1.4.96.529,1,4,96,529,2,R
1.4.96.530,1,4,96,530,2,R
1.4.96.531,1,4,96,531,2,R
1.4.96.533,1,4,96,533,2,R
1.4.96.534,1,4,96,534,2,R
1.4.96.549,1,4,96,549,2,R
1.4.96.550,1,4,96,550,2,R
1.4.96.463,1,4,96,463,1,C
1.4.96.464,1,4,96,464,1,C
1.4.96.468,1,4,96,468,1,C
1.4.96.470,1,4,96,470,1,C
1.4.96.471,1,4,96,471,1,C
1.4.96.472,1,4,96,472,1,C
1.4.96.473,1,4,96,473,1,C
1.4.96.476,1,4,96,476,1,C
1.4.96.477,1,4,96,477,1,C
1.4.96.480,1,4,96,480,1,C
1.4.96.483,1,4,96,483,1,C
1.4.96.487,1,4,96,487,1,C
1.4.96.489,1,4,96,489,1,C
1.4.96.490,1,4,96,490,1,C
1.4.96.492,1,4,96,492,1,C
1.4.96.493,1,4,96,493,1,C
1.4.96.496,1,4,96,496,1,C
1.4.96.504,1,4,96,504,1,C
1.4.96.505,1,4,96,505,1,C
1.4.96.506,1,4,96,506,1,C
1.4.96.507,1,4,96,507,1,C
1.4.96.512,1,4,96,512,1,C
1.4.96.524,1,4,96,524,1,C
1.4.96.529,1,4,96,529,1,C
1.4.96.530,1,4,96,530,1,C
1.4.96.531,1,4,96,531,1,C
1.4.96.549,1,4,96,549,1,C
1.4.96.550,1,4,96,550,1,C
1.4.96.461,1,4,96,461,1,R
1.4.96.499,1,4,96,499,1,R
1.4.96.500,1,4,96,500,1,R
1.4.96.516,1,4,96,516,1,R
1.4.96.516A,1,4,96,516A,1,R
1.4.96.516B,1,4,96,516B,1,R
1.4.96.516C,1,4,96,516C,1,R
1.4.96.533,1,4,96,533,1,R
1.4.96.521,1,4,96,521,1,D
1.4.236.245,1,4,236,245,1,C
1.4.236.248,1,4,236,248,1,C
1.4.236.251,1,4,236,251,1,C
1.4.236.267,1,4,236,267,1,C
1.4.236.293,1,4,236,293,1,C
1.4.236.294,1,4,236,294,1,C
1.4.236.296,1,4,236,296,1,C
